x	z=1, a=10	z=2, a=10	z=3, a=10	z=4, a=10	z=5, a=10	z=6, a=10
0.0	9.0	8.0	7.0	6.0	5.0	4.0
0.04	9.32	8.65	7.58	6.5	5.42	4.33
0.08	9.63	9.32	8.21	7.04	5.87	4.7
0.12	9.93	10.0	8.88	7.64	6.36	5.09
0.16	10.22	10.69	9.61	8.27	6.9	5.52
0.2	10.5	11.4	10.38	8.97	7.5	6.0
0.24	10.77	12.11	11.19	9.74	8.14	6.53
0.28	11.02	12.84	12.05	10.56	8.85	7.11
0.32	11.26	13.55	12.95	11.45	9.65	7.75
0.36	11.47	14.24	13.88	12.39	10.5	8.46
0.4	11.67	14.93	14.84	13.42	11.43	9.24
0.44	11.83	15.61	15.81	14.48	12.45	10.11
0.48	11.95	16.22	16.79	15.6	13.52	11.04
0.52	12.07	16.82	17.77	16.72	14.66	12.1
0.56	12.09	17.3	18.68	17.87	15.88	13.19
0.6	12.08	17.76	19.56	19.04	17.12	14.36
0.64	12.03	18.09	20.32	20.14	18.36	15.58
0.68	11.92	18.32	21.0	21.16	19.58	16.85
0.72	11.73	18.43	21.56	22.11	20.76	18.06
0.76	11.44	18.41	22.0	22.88	21.85	19.29
0.8	11.16	18.27	22.23	23.49	22.77	20.43
0.84	10.81	18.05	22.31	24.03	23.57	21.39
0.88	10.34	17.7	22.09	24.28	24.28	22.25
0.92	9.84	17.28	21.84	24.24	24.72	23.04
0.96	9.31	16.66	21.56	24.01	24.99	23.52
1.04	8.67	15.3	20.4	23.46	24.99	24.48
1.08	8.06	14.56	19.76	23.14	24.7	24.44
1.12	7.6	13.96	19.08	22.61	24.38	24.38
1.16	7.16	13.37	18.36	21.87	23.9	24.17
1.2	6.71	12.65	17.6	21.23	23.43	23.87
1.24	6.35	12.04	16.89	20.53	22.96	23.61
1.28	6.03	11.48	16.12	19.87	22.39	23.29
1.32	5.73	10.95	15.51	19.21	21.75	22.84
1.36	5.44	10.42	14.88	18.55	21.17	22.42
1.4	5.16	9.96	14.28	17.88	20.58	21.96
1.44	4.88	9.48	13.7	17.3	20.02	21.52
1.48	4.65	9.09	13.18	16.69	19.48	21.08
1.52	4.46	8.72	12.65	16.14	18.9	20.6
1.56	4.25	8.37	12.21	15.63	18.38	20.16
1.6	4.07	8.06	11.79	15.12	17.9	19.72
1.64	3.92	7.76	11.39	14.64	17.41	19.31
1.68	3.78	7.49	11.0	14.23	16.95	18.88
1.72	3.66	7.22	10.65	13.83	16.55	18.51
1.76	3.52	7.01	10.31	13.44	16.12	18.12
1.8	3.43	6.79	10.01	13.05	15.75	17.74
1.84	3.31	6.59	9.74	12.71	15.38	17.41
1.88	3.21	6.38	9.49	12.4	15.02	17.08
1.92	3.14	6.22	9.24	12.09	14.7	16.76
1.96	3.05	6.07	9.0	11.84	14.4	16.43
2.0	2.97	5.91	8.79	11.55	14.1	16.14
2.04	2.89	5.76	8.59	11.31	13.8	15.87
2.08	2.82	5.65	8.41	11.07	13.55	15.6
2.12	2.76	5.52	8.22	10.86	13.29	15.35
2.16	2.7	5.39	8.06	10.65	13.05	15.09
2.2	2.67	5.31	7.89	10.45	12.83	14.88
2.24	2.61	5.2	7.76	10.24	12.62	14.66
2.28	2.56	5.1	7.61	10.07	12.4	14.43
2.32	2.52	5.01	7.47	9.91	12.2	14.24
2.36	2.47	4.92	7.36	9.73	12.03	14.03
2.4	2.43	4.83	7.24	9.59	11.85	13.84
2.44	2.39	4.75	7.12	9.44	11.68	13.66
2.48	2.35	4.68	7.01	9.31	11.5	13.5
2.52	2.32	4.61	6.92	9.17	11.35	13.32
2.56	2.28	4.56	6.82	9.06	11.2	13.17
2.6	2.25	4.5	6.73	8.93	11.07	13.01
2.64	2.22	4.44	6.64	8.81	10.92	12.85
2.68	2.19	4.38	6.55	8.7	10.8	12.73
2.72	2.16	4.33	6.47	8.61	10.66	12.59
2.76	2.14	4.27	6.39	8.5	10.55	12.46
2.8	2.11	4.22	6.31	8.4	10.43	12.33
2.84	2.09	4.17	6.24	8.31	10.33	12.21
2.88	2.06	4.13	6.17	8.21	10.22	12.07
2.92	2.04	4.08	6.1	8.13	10.11	11.96
2.96	2.02	4.04	6.06	8.06	10.02	11.86
3.0	2.0	4.0	6.0	7.98	9.92	11.76
3.04	1.98	3.96	5.94	7.9	9.82	11.64
3.08	1.96	3.92	5.88	7.83	9.73	11.55
3.12	1.94	3.89	5.83	7.75	9.66	11.45
3.16	1.93	3.85	5.78	7.68	9.57	11.36
3.2	1.91	3.82	5.73	7.62	9.49	11.26
3.24	1.89	3.79	5.68	7.55	9.41	11.19
3.28	1.88	3.75	5.63	7.49	9.33	11.09
3.32	1.86	3.72	5.59	7.43	9.27	11.02
3.36	1.85	3.69	5.54	7.37	9.2	10.94
3.4	1.83	3.67	5.5	7.32	9.13	10.87
3.44	1.82	3.64	5.46	7.26	9.06	10.79
3.48	1.81	3.61	5.42	7.21	9.0	10.71
3.52	1.79	3.59	5.38	7.16	8.93	10.64
3.56	1.78	3.56	5.34	7.13	8.87	10.58
3.6	1.77	3.54	5.31	7.08	8.81	10.51
3.64	1.76	3.52	5.27	7.03	8.75	10.44
3.68	1.75	3.49	5.24	6.99	8.71	10.39
3.72	1.74	3.47	5.21	6.94	8.66	10.33
3.76	1.72	3.45	5.17	6.9	8.61	10.26
3.8	1.71	3.43	5.14	6.86	8.55	10.2
3.84	1.7	3.41	5.11	6.82	8.5	10.14
3.88	1.69	3.39	5.08	6.78	8.46	10.1
3.92	1.68	3.37	5.05	6.74	8.41	10.04
3.96	1.68	3.35	5.03	6.7	8.36	9.99
4.0	1.67	3.33	5.0	6.67	8.32	9.93
